,Journal Name,Article DOI,Open access?,PY
INANE,Journal for Specialists in Pediatric Nursing,https://doi.org/10.1111/jspn.70010,Y,2025
INANE,Journal of Advanced Nursing,https://doi.org/10.1111/jan.70491,N,2026
INANE,Journal of Doctoral Nursing Practice,https://doi.org/10.1891/JDNP-2021-0023,N,2026
INANE,Journal of Holistic Nursing,https://doi.org/10.1177/0898010111412189,N,2011
INANE,Journal of Neuroscience Nursing,https://doi.org/10.1097/JNN.0000000000000854,Y,2026
INANE,Journal of Nursing Administration (JONA),https://doi.org/10.1097/nna.0000000000000824,N,2019
INANE,Journal of Nursing Care Quality,https://doi.org/10.1097/NCQ.0000000000000892,N,2025
INANE,Journal of Nursing Practice Applications and Reviews of Research (JNPARR),https://doi.org/10.13178/jnparr.2025.1501.1503,Y,2009
INANE,Journal of Nursing Research (Taiwan),https://doi.org/10.1097/jnr.0000000000000311,Y,2019
INANE,"Journal of Obstetric, Gynecologic & Neonatal Nursing (JOGNN)",https://doi.org/10.1016/j.jogn.2026.01.005,N,2026
INANE,Journal of Pediatric Health Care,https://doi.org/10.1016/j.pedhc.2025.08.009,N,2025
INANE,Journal of Pediatric Surgical Nursing,https://doi.org/10.1177/23320249261417953,N,2026
INANE,Journal of Perinatal and Neonatal Nursing,https://doi.org/10.1097/JPN.0000000000000960,N,2026
INANE,Journal of School Nursing,https://doi.org/10.1177/10598405251409622,Y,2026
INANE,Journal of the American Association of Nurse Practitioners,https://doi.org/10.1097/JXX.0000000000001238,N,2026
INANE,Journal of the Association for Vascular Access (JAVA),https://doi.org/10.2309/1557-1289-30.4.42,N,2025
INANE,Journal of the Association of Nurses in AIDS Care (JANAC),https://doi.org/10.1097/JNC.0000000000000564,N,2025
INANE,Journal of Transcultural Nursing,https://doi.org/10.1177/10436596251370370,Y,2025
INANE,Journal of Trauma Nursing,https://doi.org/10.1097/JTN.0000000000000882,N,2025
INANE,Jurnal Keperawatan Indonesia,https://doi.org/10.7454/jki.v28i3.1270,Y,2025
INANE,MCN: The American Journal of Maternal Child Nursing,https://doi.org/10.1097/NMC.0000000000001152,N,2025
INANE,MEDSURG Nursing,https://doi.org/10.62116/MSJ.2025.34.6.266,N,2025
INANE,Nurse Researcher,https://doi.org/10.7748/nr.2025.e1967,N,2025
INANE,Nursing and Health Sciences,https://doi.org/10.1111/nhs.70303,N,2026
INANE,Nursing In Critical Care,https://doi.org/10.1111/nicc.70356,N,2026
INANE,Nursing Outlook,https://doi.org/10.1016/j.outlook.2025.102523,Y,2025
INANE,Nursing Standard,https://doi.org/10.7748/ns2002.10.17.5.33.c3282,N,2002
INANE,Pediatric Nursing,https://doi.org/10.62116/PNJ.2025.51.6.265,N,2025
INANE,Progress in Transplantation,https://doi.org/10.1177/15269248251383949,Y,2025
INANE,The Journal of Palembang Nursing Studies,https://doi.org/10.55048/jpns194,Y,2025
INANE,Women and Children Nursing,https://doi.org/10.1016/j.wcn.2025.05.002,Y,2025
INANE,Worldviews on Evidence-Based Nursing,https://doi.org/10.1111/wvn.70083,N,2026
INANE,Mental Health Practice,https://doi.org/10.7748/mhp.2025.e1755,N,2025
INANE,Journal of Renal Care,https://doi.org/10.1111/jorc.70051,Y,2026
INANE,International Journal of Nursing Studies Advances,https://doi.org/10.1016/j.ijnsa.2025.100443,Y,2025
INANE,Jurnal Keperawatan Padjadjaran,https://doi.org/10.24198/jkp.v13i3.2748,Y,2025
INANE,International Journal of Nursing Education Scholarship,https://doi.org/10.1515/ijnes-2025-0051,N,2025
INANE,Home Health Care Management and Practice,https://doi.org/10.1177/10848223241308483,N,2025
